2025-06-27 09:31:17,240 | INFO | Connected! Production DC5 (media) - IPv4
2025-06-27 09:31:17,240 | INFO | NetworkTask started
2025-06-27 09:31:17,675 | INFO | Session initialized: Layer 158
2025-06-27 09:31:17,676 | INFO | Device: CPython 3.12.10 - Pyrogram 2.0.106
2025-06-27 09:31:17,676 | INFO | System: Windows 11 (en)
2025-06-27 09:31:17,676 | INFO | Session started
2025-06-27 09:31:17,679 | INFO | PingTask started
2025-06-27 09:31:23,886 | INFO | PingTask stopped
2025-06-27 09:31:23,887 | INFO | NetworkTask stopped
2025-06-27 09:31:23,887 | INFO | Disconnected
2025-06-27 09:31:23,888 | INFO | Session stopped
